Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield_Diff_Pct=,Yield_Fixed,Discrepancy,median,std,Rainfall_Range,Lag_Yield_1,Lag_Rain_1,Mean_Rainfall,Mean_Yield,Rain_Anomaly,Year_Step,Year_Rain_Interaction,Fert_Rain_Interaction,State_Target_Encoded,Optimum_N,Optimum_P,Optimum_K,Optimum_Temp,Optimum_Humidity,Optimum_pH,Optimum_Rainfall,is_soil_patched,Actual_Temp,Temp_Deviation,Total Annual Ground Water Recharge,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Stage of Ground Water Extraction (%),Net Ground Water Availability for future use,Temp_Rain_Interaction,Soil_Nutrient_Index,Climate_Stress_Index,Variety,Seed_Rate_kg_per_ha,Yield_Potential_quintal_per_ha,Recommended_Season,Key_Characteristics,Heat_Stress_Quadratic,Harmonic_Resource_Index,Growth_Power_Law,Synergy_Log,Nutrient_Efficiency_Index,Pesticide_Per_Area,Water_Fertilizer_Ratio,State_Avg_Rain,State_GW_Stress,Heat_Drought_Index,Growing_Stress,Rain_Efficiency,District,Season_Target_Encoded,Proxy_Drought_Stress,Proxy_Soil_Quality,Crop_Kc_Peak,Crop_Maturity,Crop_Water_Req
Arecanut,2011,Whole Year,Andhra Pradesh,562.0,861.9,167.52,0.33,0.3937212106353769,0.4893238434163701,0.1926571764163701,1.261833911499052,1.0409018865076898,"(742.6, 899.2]",0.4452054794520548,1297.0,933.2333333333332,3.472229111398588,-71.33333333333337,1,-71.33333333333337,144.385488,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,27.81,2.8099999999999987,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,23.969438999999998,0.8795015306184956,-0.8973401558932181,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",7.896099999999993,280.5181339956517,263.6675301878578,0.8946048283195241,1.7498182799799584,0.0005871886110548246,5.145057275877165,900,0.6,0.12194339622641501,0.8962754664503418,29.916695591808402,ANANTAPUR,15.314619762498422,37.30000000000007,0.07986281963688713,1.15,120,600
Arecanut,2012,Kharif,Andhra Pradesh,581.0,968.7,150.8,0.31,1.3133881252326618,0.6282271944922547,0.8251061385077453,1.261833911499052,1.0409018865076898,"(899.2, 1024.9]",0.4893238434163701,861.9,933.2333333333332,3.472229111398588,35.4666666666667,2,70.9333333333334,146.07996,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,28.93,3.93,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,28.024491,0.8795015306184956,-0.8264695098656657,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",15.444899999999997,260.9735790237185,252.48457537124472,0.8854873822036329,1.7488055987735849,0.0005335628218010967,6.4237400104526525,900,0.6,-0.29529522752497256,0.8630967309477157,32.36551954560642,ANANTAPUR,2.9036281384997036,0.0,0.10431225115721834,1.15,120,600
Arecanut,2013,Kharif,Andhra Pradesh,476.0,1062.3,144.49,0.27,2.1826666625923563,0.5357142857142857,1.1692857142857145,1.261833911499052,1.0409018865076898,"(1024.9, 1129.5]",0.6282271944922547,968.7,933.2333333333332,3.472229111398588,129.0666666666666,3,387.1999999999998,153.49172700000003,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,28.2,3.2,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,29.95686,0.8795015306184956,-0.5300941495433349,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",10.239999999999995,254.380178742631,241.35558538638287,0.8670132496081536,1.7483628744979904,0.0005672268895646495,7.352065836029719,900,0.6,-0.5728745837957824,0.7478980532305088,36.380136986301366,ANANTAPUR,2.9036281384997036,0.0,0.08958272048431017,1.15,120,600
Arecanut,2014,Kharif,Andhra Pradesh,483.0,687.6,150.95999999999998,0.32999999999999996,1.5364644948458217,0.6997929606625258,1.075207039337474,1.261833911499052,1.0409018865076898,"(301.29900000000004, 742.6]",0.5357142857142857,1062.3,933.2333333333332,3.472229111398588,-245.63333333333333,4,-982.5333333333332,103.80009599999998,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,29.5,4.5,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,20.2842,0.8795015306184956,0.3239037421176689,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",20.25,247.56748853031982,255.9359987929169,0.8946048283195241,1.7488163463982553,0.0006832298122500417,4.554848936441118,900,0.6,1.065815760266371,1.2637961080453093,22.544262295081968,ANANTAPUR,2.9036281384997036,211.60000000000002,0.11617487010214284,1.15,120,600
Arecanut,2015,Kharif,Andhra Pradesh,516.0,940.7,157.91,0.33,0.045615598872681,3.478682170542636,0.1586821705426357,1.261833911499052,1.0409018865076898,"(899.2, 1024.9]",0.6997929606625258,687.6,933.2333333333332,3.472229111398588,7.466666666666697,5,37.333333333333485,148.545937,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,29.15,4.149999999999999,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,27.421405,0.8795015306184956,-0.9147723535218366,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",17.22249999999999,270.4252424940329,261.5843798538518,0.8946048283195241,1.7492622925505812,0.0006395348824815215,5.957190767163633,900,0.6,-0.1828579356270816,0.9023282361686311,31.200663349917086,ANANTAPUR,2.9036281384997036,0.0,0.5732512210296972,1.15,120,600
Arecanut,2016,Kharif,Andhra Pradesh,564.0,890.0,153.25,0.35000000000000003,0.0677439797050242,4.196808510638298,0.2843085106382976,1.261833911499052,1.0409018865076898,"(742.6, 899.2]",3.478682170542636,940.7,933.2333333333332,3.472229111398588,-43.23333333333335,6,-259.4000000000001,136.3925,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,28.81,3.809999999999999,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,25.6409,0.8795015306184956,-0.8149212268531892,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",14.516099999999991,261.4761577412391,254.48539868289754,0.9036443465926538,1.74896772661065,0.0006205673747862281,5.807504040407804,900,0.6,0.0465149833518314,0.931555667789001,29.855753102985577,ANANTAPUR,2.9036281384997036,9.200000000000045,0.6949998542706397,1.15,120,600
Arecanut,2017,Kharif,Andhra Pradesh,697.0,868.2,157.44,0.38,0.1094066147685383,6.2682926829268295,0.6857926829268299,1.261833911499052,1.0409018865076898,"(742.6, 899.2]",4.196808510638298,890.0,933.2333333333332,3.472229111398588,-65.0333333333333,7,-455.2333333333331,136.68940800000001,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,29.11,4.109999999999999,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,25.273302,0.8795015306184956,-0.642724180774802,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",16.892099999999996,266.5446136248496,260.8337643227889,0.9170603894874167,1.7492333693845752,0.0005451936864487895,5.514481672291148,900,0.6,0.14962042175360707,0.9749103773584904,28.83427432746596,ANANTAPUR,2.9036281384997036,31.0,1.0334549269632478,1.15,120,600
Arecanut,2018,Kharif,Andhra Pradesh,976.0,1220.5,162.20000000000002,0.35000000000000003,0.2376051658378967,5.447745901639344,1.294412568639344,1.261833911499052,1.0409018865076898,"(1129.5, 1274.7]",6.2682926829268295,868.2,933.2333333333332,3.472229111398588,287.26666666666665,8,2298.133333333333,197.9651,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,28.74,3.7399999999999984,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,35.077169999999995,0.8795015306184956,0.3601845116281437,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",13.987599999999988,286.3457020269824,263.7757247784887,0.9036443465926538,1.7495185876505777,0.0003586065570096245,7.52466086606251,900,0.6,-1.3262264150943395,0.6762076135898485,41.0390047074647,ANANTAPUR,2.9036281384997036,0.0,0.8938091808896313,1.15,120,600
Arecanut,2019,Kharif,Andhra Pradesh,1096.0,899.2,171.76,0.37,0.2369309528481786,9.505474452554743,2.2521411195547456,1.261833911499052,1.0409018865076898,"(742.6, 899.2]",5.447745901639344,1220.5,933.2333333333332,3.472229111398588,-34.0333333333333,9,-306.2999999999997,154.44659199999998,5.539643210361212,100.0,40.0,140.0,25.0,75.0,5.5,2000.0,1,29.35,4.350000000000001,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,26.39152,0.8795015306184956,-0.7412719701518331,Mangala,400.0,25.0,Whole Year,"Semi-tall, early bearing",18.922500000000014,288.4264450260207,277.7601195550047,0.912607257857835,1.7500439059330761,0.00033759124056789117,5.2352118931345375,900,0.6,0.00869034406215288,0.9569234614530105,29.627677100494235,ANANTAPUR,2.9036281384997036,0.0,1.5451274044320078,1.15,120,600
Arhar/Tur,2010,Rabi,Andhra Pradesh,8123.0,1297.0,166.11,0.24,0.0426440711276766,0.5048627354425704,0.0215294024425704,0.8036025462784775,0.3523491190733347,"(1274.7, 1350.9]",0.414752849296803,1297.0,951.4722222222222,0.5311595690298874,345.5277777777778,0,0.0,215.44467,5.539643210361212,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135,1,25.2,-2.541762225900001,2121785.2,2015268.51,785040.41,43.92153846153846,1231396.3,32.6844,0.0,0.3813877977300913,UPAS-120,15.0,18.0,Kharif,"Short duration, suitable for rotation",6.460555213012129,294.5023561709067,245.68891960400876,0.559006472615316,1.999999987959786e-06,2.9545734330968146e-05,7.808078936800439,900,0.6,1.1171341192634854,0.48924499229583973,49.50381679389313,CHITTOOR,2.4723972381733534,0.0,0.08251208149874312,1.05,90,400
